"ORDEARTI,N,6,0","CODIARTI,C,10","CODIGRAR,C,4","DESCARTI,C,70","UNMEARTI,C,3","ENVAARTI,C,5","UNENARTI,N,5,0","CODIIMP1,C,2","CODIIMP2,C,2","CODIDECA,C,2","CODIDEOP,C,2","ISTKARTI,C,1","IMOVARTI,C,1","CODIESPE,C,2","DECAARTI,N,5,2","REFIARTI,N,6,2","FLETARTI,N,6,2","MARGARTI,N,6,2","COEFARTI,N,8,4","POR1DEOP,N,5,2","POR2DEOP,N,5,2","POR3DEOP,N,5,2","POR4DEOP,N,5,2","POR5DEOP,N,5,2","POR6DEOP,N,5,2","POR7DEOP,N,5,2","CODIPROV,C,3","NUMEMODE,C,10","NPROARTI,C,15","CODIIMP3,C,2","FRANARTI,C,1","PREFARTI,C,4","BASIARTI,C,8","SUF1ARTI,C,2","SUF2ARTI,C,3","PARTARTI,C,22","BAINARTI,C,8","TIPOARTI,C,1","RECAARTI,N,8,2","COMIARTI,N,5,2","NUMECUEN,C,6","ACTIARTI,C,1","PROVARTI,C,5","FEACARTI,D","OBSOARTI,C,1","COB1ARTI,C,30","COB2ARTI,C,30","COBAARTI,C,30","EMERARTI,C,40","HORAARTI,C,6","ULMOARTI,D","CODIMARC,C,3","FEBAARTI,D","SIREARTI,C,1","REEMARTI,C,21","NUMELIST,C,2","CLASARTI,C,3","GRUPARTI,C,1","INDIARTI,L","CODIDESE,C,4","PRECARTI,N,15,2","COPRARTI,C,20","FEALARTI,D","CODIDESC,C,2","MODEARTI,C,12","MARCARTI,C,10","ORIGARTI,C,10","DESPARTI,C,20","FEDEARTI,D","COPRATI,C,10","CODICATE,C,4","IMAGARTI,C,120","LOTEARTI,C,1"
0,01001,0005,PASTA LIMPIA MANOS X 500 GRS,C/U,500 g,12,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,7798071081716,,,,0,,A,036,,,,,T1442,,15:52:,16/06/2024,006,,,,,,,,,,XCCC,,,,,,,,,0004,,
0,01002,0005,PASTA LIMPIA MANOS X 850 GRS,C/U,900 g,12,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01002,,,,0,,A,036,,,,,T1443/1,2021-08-06 SE MODIFICA DESCRIPCION DE 90,14:34:,07/09/2023,006,,,,,,,,,,:T1443/1,,,,,,,,,0004,,
3,02001,0014,"CORTA ALAMBRE HCR 35 (DIAM.2,5 MM)",1,1,1,01,,,,S,A,,,,,,,,,,,,,,035,,,,,,,,,,,,,0,,A,035,,,,,CA 210mm,,12:40:,06/06/2016,007,,,,,,,,,,,,,,,,,,,0027,,
0,01003,0005,PASTA LIMPIA MANOS X 4.5 KG.,C/U,5 Kg,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01003,,,,0,,A,036,,,,,T1444/4,2021-08-06 CAMBIO DESCRIPCION DE 5KG A 4,17:02:,05/08/2021,006,,,,,,,,,,:T1444/4,,,,,,,,,0004,,
8,01010,0008,SILICONA X 400 CC FRAG.AEROSOL,C/U,,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,,,,,0,,A,036,,,,,T1073,,15:25:,06/06/2016,006,,,,,,,,,,,,,,,,,,,0008,,
9,01011,0007,LUBRICANTE MULTIUSO SILIC. X 400,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,,,,,0,,A,036,,,,,T1542,,15:53:,31/07/2014,006,,,,,,,,,,,,,,,,,,,0011,,
10,01012,0007,AFLOJATUERCAS X 400 CC,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,,,,,0,,A,036,,,,,T1402,,15:54:,31/07/2014,006,,,,,,,,,,,,,,,,,,,0011,,
0,01020,0009,PEGAJUNTAS X 45CC BLISTER,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,01020,,,,0,,A,036,,,,,T1823,,16:40:,22/07/2025,006,,,,,,,,,,,,,,,,,,,0008,,
0,01030,0006,GRASA FIBROSA X 250 GRS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01030,,,,0,,A,036,,,,,T1101,,16:34:,13/06/2021,006,,,,,,,,,,,,,,,,,,,0009,,
9974,01031,0006,GRASA FIBROSA X 450 GRS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,01031,,,,0,,A,036,,,,,T1102,,12:21:,18/08/2025,006,,,,,,,,,,T1102,,,,,,,,,0009,F:\TEKNO\IMAGENES\IMAGENES\FONDO BLANCO\TRIBUNO HOME\01031-GRASA FIBROSA 450GR.JPG,
0,01032,0006,GRASA FIBROSA X 850 GRS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01032,,,,0,,A,036,,,,,T1103,,16:36:,13/06/2021,006,,,,,,,,,,,,,,,,,,,0009,,
15,01033,0006,GRASA FIBROSA 5 KGS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,,,,,0,,A,036,,,,,T1104,,15:19:,06/06/2016,006,,,,,,,,,,,,,,,,,,,0009,,
0,01040,0006,GRASA LITIO EP X 250 GRS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,01040,,,,0,,A,036,,,,,T1111,,12:35:,18/08/2025,006,,,,,,,,,,T1111,,,,,,,,,0012,F:\TEKNO\IMAGENES\IMAGENES\FONDO BLANCO\TRIBUNO HOME\01040-GRASA DE LITIO 250GR.JPG,
0,01041,0006,GRASA LITIO EP X 450 GRS.,1,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,01041,,,,0,,A,036,,,,,T1112,,12:38:,18/08/2025,006,,,,,,,,,,T1112,,,,,,,,,0012,F:\TEKNO\IMAGENES\IMAGENES\FONDO BLANCO\TRIBUNO HOME\01041-GRASA DE LITIO EP 450GR.JPG,
0,01042,0006,GRASA LITIO EP X 850 GRS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01042,,,,0,,A,036,,,,,T1113,,16:37:,13/06/2021,006,,,,,,,,,,,,,,,,,,,0012,,
0,01043,0006,GRASA LITIO EP X 5 KGS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01043,,,,0,,A,036,,,,,T1115,,16:38:,13/06/2021,006,,,,,,,,,,,,,,,,,,,0012,,
0,01050,0006,GRASA MULTIUSO X 250 GRS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,01050,,,,0,,A,036,,,,,T1121,,12:45:,18/08/2025,006,,,,,,,,,,T1121,,,,,,,,,0011,F:\TEKNO\IMAGENES\IMAGENES\FONDO BLANCO\TRIBUNO HOME\GRASA-MULTI-1.JPG,
0,01051,0006,GRASA MULTIUSO X 450 GRS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01051,,,,0,,A,036,,,,,T1122,,16:38:,13/06/2021,006,,,,,,,,,,,,,,,,,,,0011,,
0,01052,0006,GRASA MULTIUSO X 850 GRS.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01052,,,,0,,A,036,,,,,T1123,,17:27:,10/08/2023,006,,,,,,,,,,,,,,,,,,,0011,,
0,01053,0006,GRASA MULTIUSO X 5 KG.,C/U,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01053,,,,0,,A,036,,,,,T1124,,16:40:,13/06/2021,006,,,,,,,,,,,,,,,,,,,0011,,
26,01054,0006,GRASA MULTIUSO X 19,1,1,1,01,,,,S,A,,,,,,,,,,,,,,001,,,,,,,,,,,,,0,,A,001,,,,,T1301,,09:45:,13/02/2012,006,,,,,,,,,,,,,,,,,,,0011,,
0,01060,0006,GRASA GRAFITADA X 250 GRS.,1,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01060,,,,0,,A,036,,,,,T1303,,16:40:,13/06/2021,006,,,,,,,,,,,,,,,,,,,0013,,
28,01061,0006,GRASA GRAFITADA X 450 GRS.,1,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,,,,,0,,A,036,,,,,T1303,,15:22:,06/06/2016,006,,,,,,,,,,,,,,,,,,,0013,,
0,01062,0006,GRASA GRAFITADA X 850 GRS.,1,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01062,,,,0,,A,036,,,,,T1304,,11:08:,28/10/2021,006,,,,,,,,,,,,,,,,,,,0013,,
0,01063,0006,GRASA GRAFITADA X 5 KGS.,1,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01063,,,,0,,A,036,,,,,T1305,,16:53:,17/10/2021,006,,,,,,,,,,,,,,,,,,,0013,,
0,01080,0010,ACEITE SOLUBLE X 1 LT.,1,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,,,,,,,01080,,,,0,,A,036,,,,,TE1002,,12:13:,18/08/2025,006,,,,,,,,,,TE1002,,,,,,,,,0017,F:\TEKNO\IMAGENES\IMAGENES\FONDO BLANCO\TRIBUNO HOME\01080-ACEITE SOLUBLE 1LT.JPG,
0,01081,0010,ACEITE SOLUBLE X 5 LT.,1,1,1,01,,,,S,A,,,,,,,,,,,,,,036,,,A,,,,,,01081,,,,0,,A,036,,,,,TE1010,,09:18:,29/03/2022,006,,,,,,,,,,,,,,,,,,,0017,,
33,01082,0010,ACEITE SOLUBLE X 10 LTS.,1,1,1,01,,,,S,A,,,,,,,,,,,,,,001,,,,,,,,,,,,,0,,A,001,,,,,,,10:06:,13/02/2012,006,,,,,,,,,,,,,,,,,,,0017,,
34,02002,0014,"CORTA ALAMBRE HCR 35 (DIAM.4,0MM)",1,1,1,01,,,,S,A,,,,,,,,,,,,,,035,,,,,,,,,,,,,0,,A,035,,,,,CA 310mm,,12:40:,06/06/2016,007,,,,,,,,,,,,,,,,,,,0027,,
0,02008,0014,"CORTAPERNOS HCR 35 MM) 18"".",1,1,1,01,,,,S,A,,,,,,,,,,,,,,035,,,A,,,,,,02008,,,,0,,A,035,,,,,"CA 450 18""",,17:30:,11/04/2024,007,,,,,,,,,,,,,,,,,,,0024,,
0,02010,0014,"CORTAPERNOS HCR 15 ( 10 MM) 24"".",1,1,1,01,,,,S,A,,,,,,,,,,,,,,035,,,A,,,,,,02010,,,,0,,A,035,,,1004,,"CA 600 24""",,17:30:,11/04/2024,007,,,,,,,,,,,,,,,,,,,0024,,
0,02012,0014,"CORTAPERNOS HCR15 12MM 30"".",1,1,1,01,,,,S,A,,,,,,,,,,,,,,035,,,,,,,,,02012,,,,0,,A,035,,,1005,,"CP 75030""",,17:02:,22/07/2025,007,,,,,,,,,,,,,,,,,,,0024,,
0,02014,0014,"CORTAPERNOS HCR15 14MM 36"".",1,1,1,01,,,,S,A,,,,,,,,,,,,,,035,,,,,,,,,02014,,,,0,,A,035,,,1006,,"CP 900 36""",,17:02:,22/07/2025,007,,,,,,,,,,,,,,,,,,,0024,,
0,02016,0014,"CORTAPERNOS HCR15 16MM 42"".",1,1,1,01,,,,S,A,,,,,,,,,,,,,,035,,,,,,,,,02016,,,,0,,A,035,,,1007,,"CP 1050 42""",,17:03:,22/07/2025,007,,,,,,,,,,,,,,,,,,,0024,,
40,02020,0012,TIJERA DE PODA,1,1,1,01,,,,S,A,,,,,,,,,,,,,,035,,,,,,,,,,,,,0,,A,035,,,,,"TRC210 8""",,17:32:,31/07/2014,007,,,,,,,,,,,,,,,,,,,0025,,
0,02118,0014,"REP. C.PERNOS CUCHILLAS 16"".",1,1,1,01,,,,S,A,,,,,,,,,,,,,,,,,A,,,,,,02118,,,,0,,A,,,,,,,,16:29:,16/04/2024,007,,,,,,,,,,,,,,,,,,,0026,,
