"ORDESTOK,N,6,0","GRARARTI,C,10","CODIDEPO,C,2","ANTESTOK,N,12,2","ACTUSTOK,N,12,2","MINISTOK,N,12,2","MAXISTOK,N,12,2","PEDISTOK,N,12,2","INGRSTOK,N,12,2","EGRESTOK,N,12,2","AUXISTOK,N,8,2","UBICSTOK,C,5","CAPESTOK,N,12,2","CODIARTI,C,10","UBICSTO1,C,5","CODIPAPE,C,2","CODITIDE,C,1","VEPRSTOK,N,12,2","STOCKP,N,12,2"
1,01001,01,0,0,0,0,0,0,0,0,,0,,,,,,
2,01002,01,0,0,0,0,0,0,0,0,,0,,,,,,
3,02001,01,0,0,0,0,0,0,0,0,,0,,,,,,
4,01003,01,0,0,0,0,0,0,0,0,,0,,,,,,
5,01010,01,0,0,0,0,0,0,0,0,,0,,,,,,
6,01011,01,0,0,0,0,0,0,0,0,,0,,,,,,
7,01012,01,0,0,0,0,0,0,0,0,,0,,,,,,
8,01020,01,0,0,0,0,0,0,0,0,,0,,,,,,
9,01030,01,0,0,0,0,0,0,0,0,,0,,,,,,
10,01031,01,0,0,0,0,0,0,0,0,,0,,,,,,
11,01032,01,0,0,0,0,0,0,0,0,,0,,,,,,
12,01033,01,0,0,0,0,0,0,0,0,,0,,,,,,
13,01040,01,0,0,0,0,0,0,0,0,,0,,,,,,
14,01041,01,0,0,0,0,0,0,0,0,,0,,,,,,
15,01042,01,0,0,0,0,0,0,0,0,,0,,,,,,
16,01043,01,0,0,0,0,0,0,0,0,,0,,,,,,
17,01050,01,0,0,0,0,0,0,0,0,,0,,,,,,
18,01051,01,0,0,0,0,0,0,0,0,,0,,,,,,
19,01052,01,0,0,0,0,0,0,0,0,,0,,,,,,
20,01053,01,0,0,0,0,0,0,0,0,,0,,,,,,
21,01054,01,0,0,0,0,0,0,0,0,,0,,,,,,
22,01060,01,0,0,0,0,0,0,0,0,,0,,,,,,
23,01061,01,0,0,0,0,0,0,0,0,,0,,,,,,
24,01062,01,0,0,0,0,0,0,0,0,,0,,,,,,
25,01063,01,0,0,0,0,0,0,0,0,,0,,,,,,
26,01080,01,0,0,0,0,0,0,0,0,,0,,,,,,
27,01081,01,0,0,0,0,0,0,0,0,,0,,,,,,
28,01082,01,0,0,0,0,0,0,0,0,,0,,,,,,
29,02002,01,0,0,0,0,0,0,0,0,,0,,,,,,
30,02008,01,0,0,0,0,0,0,0,0,,0,,,,,,
31,02010,01,0,0,0,0,0,0,0,0,,0,,,,,,
32,02012,01,0,0,0,0,0,0,0,0,,0,,,,,,
33,02014,01,0,0,0,0,0,0,0,0,,0,,,,,,
34,02016,01,0,0,0,0,0,0,0,0,,0,,,,,,
35,02020,01,0,0,0,0,0,0,0,0,,0,,,,,,
36,02118,01,0,0,0,0,0,0,0,0,,0,,,,,,
37,02124,01,0,0,0,0,0,0,0,0,,0,,,,,,
38,02130,01,0,0,0,0,0,0,0,0,,0,,,,,,
39,02136,01,0,0,0,0,0,0,0,0,,0,,,,,,
40,02142,01,0,0,0,0,0,0,0,0,,0,,,,,,
41,02218,01,0,0,0,0,0,0,0,0,,0,,,,,,
42,02224,01,0,0,0,0,0,0,0,0,,0,,,,,,
43,02230,01,0,0,0,0,0,0,0,0,,0,,,,,,
44,02236,01,0,0,0,0,0,0,0,0,,0,,,,,,
45,02242,01,0,0,0,0,0,0,0,0,,0,,,,,,
46,02250,01,0,0,0,0,0,0,0,0,,0,,,,,,
47,02051,01,0,0,0,0,0,0,0,0,,0,,,,,,
48,04001,01,0,0,0,0,0,0,0,0,,0,,,,,,
49,04002,01,0,0,0,0,0,0,0,0,,0,,,,,,
50,04003,01,0,0,0,0,0,0,0,0,,0,,,,,,
51,05001,01,0,0,0,0,0,0,0,0,,0,,,,,,
52,05002,01,0,0,0,0,0,0,0,0,,0,,,,,,
53,05010,01,0,0,0,0,0,0,0,0,,0,,,,,,
54,05011,01,0,0,0,0,0,0,0,0,,0,,,,,,
55,05020,01,0,0,0,0,0,0,0,0,,0,,,,,,
56,05021,01,0,0,0,0,0,0,0,0,,0,,,,,,
57,09001,01,0,0,0,0,0,0,0,0,,0,,,,,,
58,09002,01,0,0,0,0,0,0,0,0,,0,,,,,,
59,09003,01,0,0,0,0,0,0,0,0,,0,,,,,,
60,09004,01,0,0,0,0,0,0,0,0,,0,,,,,,
61,09005,01,0,0,0,0,0,0,0,0,,0,,,,,,
62,09006,01,0,0,0,0,0,0,0,0,,0,,,,,,
63,09008,01,0,0,0,0,0,0,0,0,,0,,,,,,
64,09010,01,0,0,0,0,0,0,0,0,,0,,,,,,
65,09011,01,0,0,0,0,0,0,0,0,,0,,,,,,
66,09012,01,0,0,0,0,0,0,0,0,,0,,,,,,
67,09013,01,0,0,0,0,0,0,0,0,,0,,,,,,
68,09014,01,0,0,0,0,0,0,0,0,,0,,,,,,
69,09015,01,0,0,0,0,0,0,0,0,,0,,,,,,
70,09020,01,0,0,0,0,0,0,0,0,,0,,,,,,
71,09021,01,0,0,0,0,0,0,0,0,,0,,,,,,
