"ORDECATE,N,6,0","CODICATE,C,4","DESCCATE,C,30"
,0001,TALADROS
,0002,AMOLADORAS
,0003,LIJADORAS
,0004,PASTAS LIMPIA MANOS
,0005,ACETICAS
,0006,NEUTRAS
,0007,ALTA TEMPERATURA
,0008,GENERAL
,0009,FIBROSA
,0010,TERMORESISTENTE
,0011,MULTIUSO
,0012,LITIO
,0013,GRAFITADA
,0014,BLANCA
,0015,HOMOSINETICA
,0016,DESENGRASANTE
,0017,ACEITE
,0018,DE CORTE
,0019,REFRIGERANTE
,0020,ESMERIL
,0021,DESMOLDANTE
,0022,VARIOS
,0023,SILICONADA
,0024,CORTAPERNOS
,0025,TIJERA DE PODA
,0026,REPUESTO
,0027,CORTA ALAMBRE
,0028,POLIURETANO
,0029,HOTMELT
,0030,ROTOMARTILLO
,0031,SOPLADORAS
,0032,BATERIAS Y CARGADORES
,0033,MARTILLOS DEMOLEDORES
,0034,LLAVES DE IMPACTO
,0035,CRIQUE
,0036,LAMPARAS Y LINTERNAS
,0037,MOTOSIERRAS
,0038,DESMALEZADORAS
,0039,BORDEADORAS
,0040,CORTACERCOS
,0041,EQUIPOS DE PINTAR
,0042,PISTOLAS DE CALOR
,0043,PINZA PORTAELECTRODO
,0044,ESCUADRAS
,0045,COMPRESORES
,0046,ENCASTRE SDS PLUS
,0047,ENCASTRE SDS MAX
,0048,CORTE
,0049,DESBASTE
,0050,SEGMENTADO
,0051,TURBO
,0052,CONTINUO
,0053,AL AGUA
,0054,ANTIEMPASTE
,0055,ZIRCONIO
,0056,CARBURO DE SILICIO
,0057,MADERA
,0058,METAL
,0059,ALUMINIO
,0060,CERAMICA
,0061,DESTORNILLADORES PUNTAS Y TUBO
,0062,CEPILLOS
,0063,CALADORAS
,0064,FRESADORAS
,0065,SIERRAS DE MESA
,0066,SIERRAS SABLE
,0067,WIDIA
,0068,MARTILLOS Y MAZAS
,0069,PINZAS Y ALICATES
,0070,TIJERAS
,0071,BOLSOS Y MOCHILAS
,0072,CAJAS DE HERRAMIENTAS
,0073,ORGANIZADORES
,0074,INGLETADORA
,0075,PRENSA
,0076,SERRUCHOS Y SIERRAS
,0077,HACHAS
,0078,PISTOLAS APLICADORAS
,0079,ESPATULAS
,0080,PALAS
,0081,RASTRILLOS
,0082,CANDADOS
,0083,ELECTRODOS
,0084,SOLDADORAS
,0085,CABLES SUBTERRANEOS
,0086,CABLES UNIPOLARES
,0087,CABLES BIPOLARES
,0088,CABLES TIPO TALLER
,0089,CABLES BICOLOR
,0090,CUTTERS
,0091,LLAVES TERMICAS
,0092,DISYUNTORES
,0093,BUSCAPOLOS
,0094,FICHAS INDUSTRIALES
,0095,FICHAS MACHO
,0096,FICHAS HEMBRA
,0097,BASES INDUSTRIALES
,0098,REMACHADORAS
,0099,REMACHES STANDARD
,0100,REMACHES CABEZA ANCHA
,0101,TUERCAS REMACHABLES
,0102,ALAMBRES PARA SOLDAR
,0103,LLAVES AJUSTABLES
,0104,CANDADOS
,0105,SIERRA CIRCULAR
,0106,PULIDORAS
,0107,LLAVES
,0108,MULTIMETROS
,0109,MASCARAS DE SOLDAR
,0110,CORTA VIDRIOS
,0111,CORTA CERAMICOS
,0112,CALIBRES
,0113,TERMOMETROS
,0114,CINCHAS Y ESLINGAS
,0115,ACCESORIOS
,0116,ATORNILLADORES
,0117,ASPIRADORAS
,0118,PULVERIZADORES
,0119,MEZCLADORES
,0120,BOMBAS
,0121,OXIDO DE ALUMINIO
,0122,VENTOSA
,0123,LLAVES COMBINADAS
,0124,NIVELES Y REGLAS
,0125,MEDIDORES LASER
,0126,COMBOS
,0127,EQUIPOS DE LIMPIEZA
,0128,HIDROLAVADORAS
,0129,CEPILLADORAS
,0130,"LIMAS, ESCOFINAS Y FORMONES"
,0131,CLIPS COCODRILO
,0132,TORNOS
,0133,COPAS DIAMANTADAS
,0134,CINCELES Y PUNTAS
,0135,ELEVADORES / GATOS
,0136,APAREJOS
,0137,SET  / KIT / JUEGO DE HERRAMIE
,0138,MESAS / BANCOS DE TRABAJO
