"ORDEIMPU,N,6,0","CODIIMPU,C,2","DESCIMPU,C,15","PORCIMPU,N,8,4","NUMECUEN,C,6","CUCOIMPU,C,6","INDCLAVE_V,C,1","INDCLAVE_C,C,1"
1,01,IVA RI 21%,21,212101,114201,,
2,00,SIN IVA,0,212101,114201,,
3,02,IVA TASA 27%,27,212101,114201,,
4,03,IVA TASA 19%,19,212101,114201,,
5,04,"IVA TASA 10,5%","10,5",212101,114201,,
6,99,Iva 21% Import.,31,212101,114201,,
7,88,Iva 21% *FC*,0,212101,114201,,
8,05,IVA TASA 14%,14,212101,114201,,
10,07,Perc IVA,0,111101,111101,,
11,08,IVA ADIC.ANA 5%,5,212101,114201,,
12,09,IVA ADI.ANA 10%,10,212101,114201,,
4,20,PERCEPCION IIBB,0,111101,111101,,
5,30,COMERCIO E INDU,0,111101,111101,,
6,60,PERCEP MUNI,0,111101,111101,,
