"ORDEGRAR,N,6,0","CODIGRAR,C,4","DESCGRAR,C,20","NUMECUEN,C,6","CUCOGRAR,C,6","MEDVGRAR,C,1","MEDCGRAR,C,1","FACVGRAR,N,9,4","FACCGRAR,N,9,4","ICANGRAR,C,1"
,0001,HERRAMIENTAS MANUALE,,,,,,,
,0002,HERRAMIENTAS ELECTRI,,,,,,,
,0003,HERRAMIENTAS A EXPLO,,,,,,,
,0004,HERRAMIENTAS INALAMB,,,,,,,
,0005,PASTAS,,,,,,,
,0006,GRASAS,,,,,,,
,0007,LUBRICANTES,,,,,,,
,0008,SILICONAS,,,,,,,
,0009,PEGAMENTOS,,,,,,,
,0010,FLUIDOS,,,,,,,
,0011,VARIOS,,,,,,,
,0012,JARDINERIA,,,,,,,
,0013,REPUESTOS,,,,,,,
,0014,CORTA PERNOS / ALAMB,,,,,,,
,0015,SELLADORES,,,,,,,
,0016,ESPUMAS,,,,,,,
,0017,BROCAS Y MECHAS,,,,,,,
,0018,DISCOS ABRASIVOS,,,,,,,
,0019,DISCOS FLAP,,,,,,,
,0020,DISCOS DIAMANTADOS,,,,,,,
,0021,DISCOS DE SIERRA,,,,,,,
,0022,ACCESORIOS,,,,,,,
,0023,ALMACENAJE,,,,,,,
,0024,ELECTRICIDAD,,,,,,,
,0025,SOLDADURA,,,,,,,
,0026,REMACHABLES,,,,,,,
,0027,SEGURIDAD,,,,,,,
,0028,HERRAMIENTAS DE MEDI,,,,,,,
,0029,HERREMIENTAS DE SUJE,,,,,,,
,0030,HERRAMIENTAS NEUMATI,,,,,,,
